,Precision,Recall,F1,sample_size
Class: Barbastella barbastellus,0,NA,NA,0
Class: Myotis bechsteinii,0.2593,0.875,0.4,8
Class: Myotis brandtii,0.8261,0.9048,0.8636,21
Class: Myotis dasycneme,0,NA,NA,0
Class: Myotis daubentonii,0.9568,0.7277,0.8267,213
Class: Myotis myotis,0.9483,0.9649,0.9565,57
Class: Myotis nattereri,0.9634,0.8951,0.928,677
Class: Nyctalus noctula,0,NA,NA,0
Class: Plecotus sp.,0,NA,NA,0
Class: Empty,0.0508,1,0.0968,3
