Filename,Date,Time.x,pred,actual,Confidence_level,Site
_1100314.JPG,8/1/2020,0:26:15,Mmyo,Mmyo,100,Comthurey_r500
_1100317.JPG,8/1/2020,1:47:01,Mmyo,Mmyo,100,Comthurey_r500
_1100322.JPG,8/1/2020,21:07:03,Mmyo,Mmyo,100,Comthurey_r500
_1100328.JPG,8/1/2020,23:26:59,Mmyo,Mmyo,100,Comthurey_r500
_1100355.JPG,8/3/2020,21:45:06,Mmyo,Mmyo,97.5,Comthurey_r500
_1100358.JPG,8/3/2020,22:12:48,Mmyo,Mmyo,100,Comthurey_r500
_1100360.JPG,8/3/2020,22:34:22,Mdau,Mdau,96.7,Comthurey_r500
_1100421.JPG,8/6/2020,1:38:16,Mmyo,Mmyo,99.8,Comthurey_r500
_1100425.JPG,8/6/2020,2:55:11,Mmyo,Mmyo,86.2,Comthurey_r500
_1100426.JPG,8/6/2020,3:12:16,Mmyo,Mmyo,100,Comthurey_r500
_1100434.JPG,8/6/2020,23:31:45,Mmyo,Mmyo,95.8,Comthurey_r500
_1100437.JPG,8/6/2020,23:46:26,Mmyo,Mmyo,100,Comthurey_r500
_1100442.JPG,8/7/2020,0:09:13,Mdau,Mdau,95.5,Comthurey_r500
_1100460.JPG,8/7/2020,3:09:25,Mmyo,Mmyo,99.9,Comthurey_r500
_1100463.JPG,8/7/2020,21:39:55,Mmyo,Mmyo,100,Comthurey_r500
_1100471.JPG,8/7/2020,22:28:46,Mmyo,Mmyo,100,Comthurey_r500
_1100489.JPG,8/8/2020,1:12:28,Mmyo,Mmyo,100,Comthurey_r500
_1100502.JPG,8/8/2020,2:40:39,Mmyo,Mmyo,100,Comthurey_r500
_1100503.JPG,8/8/2020,3:05:33,Mmyo,Mmyo,100,Comthurey_r500
_1100513.JPG,8/8/2020,22:05:17,Mmyo,Mmyo,100,Comthurey_r500
_1100517.JPG,8/8/2020,22:48:34,Mmyo,Mmyo,100,Comthurey_r500
_1100560.JPG,8/10/2020,0:32:03,Mmyo,Mmyo,100,Comthurey_r500
_1100572.JPG,8/10/2020,1:25:27,Mdau,Mdau,71.5,Comthurey_r500
_1100589.JPG,8/10/2020,2:50:21,Mdau,Mdau,99.9,Comthurey_r500
_1100603.JPG,8/10/2020,3:30:31,Empty,Mdau,0,Comthurey_r500
_1100621.JPG,8/10/2020,22:25:06,Mmyo,Mmyo,99.3,Comthurey_r500
_1100624.JPG,8/10/2020,22:53:33,Mmyo,Mmyo,99.2,Comthurey_r500
_1100662.JPG,8/11/2020,22:26:03,Mmyo,Mmyo,100,Comthurey_r500
_1100666.JPG,8/11/2020,23:25:10,Mmyo,Mmyo,100,Comthurey_r500
_1100667.JPG,8/11/2020,23:57:00,Empty,Mmyo,0,Comthurey_r500
_1100669.JPG,8/12/2020,0:31:49,Mmyo,Mmyo,98.1,Comthurey_r500
_1100675.JPG,8/12/2020,1:15:06,Bbar,Bbar,100,Comthurey_r500
_1100697.JPG,8/12/2020,20:53:42,Mmyo,Mmyo,100,Comthurey_r500
_1100710.JPG,8/12/2020,23:49:44,Empty,Mmyo,0,Comthurey_r500
_1100720.JPG,8/13/2020,1:43:16,Mmyo,Mmyo,99.9,Comthurey_r500
_1100723.JPG,8/13/2020,2:12:01,Mmyo,Mmyo,100,Comthurey_r500
_1100735.JPG,8/13/2020,22:36:50,Mmyo,Mmyo,100,Comthurey_r500
_1100748.JPG,8/14/2020,0:40:55,Mmyo,Mmyo,100,Comthurey_r500
_1100751.JPG,8/14/2020,0:59:20,Mmyo,Mmyo,100,Comthurey_r500
