,site,th,species,FN,FP,below_th,total
126,Eldena,9,Mbra,24,1,0,46
127,Eldena,9,Mnat,278,143,0,6561
128,Eldena,9,Nnoc,0,0,0,0
129,Eldena,9,Ppip,0,2,0,2
130,Eldena,9,Paur,25,31,0,393
131,Eldena,9,Rhin,0,0,0,0
132,Eldena,10,Bbar,0,1,0,1
133,Eldena,10,Eser,0,0,0,0
134,Eldena,10,Mbec,0,1,0,1
135,Eldena,10,Mdas,0,3,0,3
136,Eldena,10,Mdau,132,175,0,2365
137,Eldena,10,Mema,0,2,0,2
138,Eldena,10,Mmyo,12,5,0,79
139,Eldena,10,Mbra,24,1,0,46
140,Eldena,10,Mnat,278,143,0,6561
141,Eldena,10,Nnoc,0,0,0,0
142,Eldena,10,Ppip,0,2,0,2
143,Eldena,10,Paur,25,31,0,393
144,Eldena,10,Rhin,0,0,0,0
145,Eldena,11,Bbar,0,1,0,1
146,Eldena,11,Eser,0,0,0,0
147,Eldena,11,Mbec,0,1,0,1
148,Eldena,11,Mdas,0,3,0,3
149,Eldena,11,Mdau,132,175,0,2365
150,Eldena,11,Mema,0,2,0,2
151,Eldena,11,Mmyo,12,5,0,79
152,Eldena,11,Mbra,24,1,0,46
153,Eldena,11,Mnat,278,143,0,6561
154,Eldena,11,Nnoc,0,0,0,0
155,Eldena,11,Ppip,0,2,0,2
156,Eldena,11,Paur,25,31,0,393
157,Eldena,11,Rhin,0,0,0,0
158,Eldena,12,Bbar,0,1,0,1
159,Eldena,12,Eser,0,0,0,0
160,Eldena,12,Mbec,0,1,0,1
161,Eldena,12,Mdas,0,3,0,3
162,Eldena,12,Mdau,132,175,0,2365
163,Eldena,12,Mema,0,2,0,2
164,Eldena,12,Mmyo,12,5,0,79
165,Eldena,12,Mbra,24,1,0,46
166,Eldena,12,Mnat,278,143,0,6561
167,Eldena,12,Nnoc,0,0,0,0
168,Eldena,12,Ppip,0,2,0,2
169,Eldena,12,Paur,25,31,0,393
170,Eldena,12,Rhin,0,0,0,0
171,Eldena,13,Bbar,0,1,0,1
172,Eldena,13,Eser,0,0,0,0
173,Eldena,13,Mbec,0,1,0,1
174,Eldena,13,Mdas,0,3,0,3
175,Eldena,13,Mdau,132,175,0,2365
176,Eldena,13,Mema,0,2,0,2
177,Eldena,13,Mmyo,12,5,0,79
178,Eldena,13,Mbra,24,1,0,46
179,Eldena,13,Mnat,278,143,0,6561
180,Eldena,13,Nnoc,0,0,0,0
181,Eldena,13,Ppip,0,2,0,2
182,Eldena,13,Paur,25,31,0,393
183,Eldena,13,Rhin,0,0,0,0
184,Eldena,14,Bbar,0,1,0,1
185,Eldena,14,Eser,0,0,0,0
186,Eldena,14,Mbec,0,1,0,1
187,Eldena,14,Mdas,0,3,0,3
188,Eldena,14,Mdau,132,175,0,2365
189,Eldena,14,Mema,0,2,0,2
190,Eldena,14,Mmyo,12,5,0,79
191,Eldena,14,Mbra,24,1,0,46
192,Eldena,14,Mnat,278,143,0,6561
193,Eldena,14,Nnoc,0,0,0,0
194,Eldena,14,Ppip,0,2,0,2
195,Eldena,14,Paur,25,31,0,393
196,Eldena,14,Rhin,0,0,0,0
197,Eldena,15,Bbar,0,1,0,1
198,Eldena,15,Eser,0,0,0,0
199,Eldena,15,Mbec,0,1,0,1
200,Eldena,15,Mdas,0,3,0,3
201,Eldena,15,Mdau,132,175,0,2365
202,Eldena,15,Mema,0,2,0,2
203,Eldena,15,Mmyo,12,5,0,79
204,Eldena,15,Mbra,24,1,0,46
205,Eldena,15,Mnat,278,143,0,6561
206,Eldena,15,Nnoc,0,0,0,0
207,Eldena,15,Ppip,0,2,0,2
208,Eldena,15,Paur,25,31,0,393
209,Eldena,15,Rhin,0,0,0,0
210,Eldena,16,Bbar,0,1,0,1
211,Eldena,16,Eser,0,0,0,0
212,Eldena,16,Mbec,0,1,0,1
213,Eldena,16,Mdas,0,3,0,3
214,Eldena,16,Mdau,132,175,0,2365
215,Eldena,16,Mema,0,2,0,2
216,Eldena,16,Mmyo,12,5,0,79
217,Eldena,16,Mbra,24,1,0,46
218,Eldena,16,Mnat,278,143,1,6561
219,Eldena,16,Nnoc,0,0,0,0
220,Eldena,16,Ppip,0,2,0,2
221,Eldena,16,Paur,25,31,0,393
222,Eldena,16,Rhin,0,0,0,0
223,Eldena,17,Bbar,0,1,0,1
224,Eldena,17,Eser,0,0,0,0
225,Eldena,17,Mbec,0,1,0,1
226,Eldena,17,Mdas,0,3,0,3
227,Eldena,17,Mdau,132,175,0,2365
228,Eldena,17,Mema,0,2,0,2
229,Eldena,17,Mmyo,12,5,0,79
230,Eldena,17,Mbra,24,1,0,46
231,Eldena,17,Mnat,278,143,1,6561
232,Eldena,17,Nnoc,0,0,0,0
233,Eldena,17,Ppip,0,2,0,2
234,Eldena,17,Paur,25,31,0,393
235,Eldena,17,Rhin,0,0,0,0
236,Eldena,18,Bbar,0,1,0,1
237,Eldena,18,Eser,0,0,0,0
238,Eldena,18,Mbec,0,1,0,1
239,Eldena,18,Mdas,0,3,0,3
240,Eldena,18,Mdau,132,175,0,2365
241,Eldena,18,Mema,0,2,0,2
242,Eldena,18,Mmyo,12,5,0,79
243,Eldena,18,Mbra,24,1,0,46
244,Eldena,18,Mnat,278,143,2,6561
245,Eldena,18,Nnoc,0,0,0,0
246,Eldena,18,Ppip,0,2,0,2
247,Eldena,18,Paur,25,31,0,393
248,Eldena,18,Rhin,0,0,0,0
249,Eldena,19,Bbar,0,1,0,1
250,Eldena,19,Eser,0,0,0,0
251,Eldena,19,Mbec,0,1,0,1
252,Eldena,19,Mdas,0,3,0,3
253,Eldena,19,Mdau,132,175,0,2365
254,Eldena,19,Mema,0,2,0,2
255,Eldena,19,Mmyo,12,5,0,79
256,Eldena,19,Mbra,24,1,0,46
257,Eldena,19,Mnat,278,143,2,6561
258,Eldena,19,Nnoc,0,0,0,0
259,Eldena,19,Ppip,0,2,0,2
260,Eldena,19,Paur,25,31,0,393
261,Eldena,19,Rhin,0,0,0,0
262,Eldena,20,Bbar,0,1,0,1
263,Eldena,20,Eser,0,0,0,0
264,Eldena,20,Mbec,0,1,0,1
265,Eldena,20,Mdas,0,3,0,3
266,Eldena,20,Mdau,132,175,0,2365
267,Eldena,20,Mema,0,2,0,2
268,Eldena,20,Mmyo,12,5,0,79
269,Eldena,20,Mbra,24,1,0,46
270,Eldena,20,Mnat,278,143,3,6561
271,Eldena,20,Nnoc,0,0,0,0
272,Eldena,20,Ppip,0,2,0,2
273,Eldena,20,Paur,25,31,0,393
274,Eldena,20,Rhin,0,0,0,0
275,Eldena,21,Bbar,0,1,0,1
276,Eldena,21,Eser,0,0,0,0
277,Eldena,21,Mbec,0,1,0,1
278,Eldena,21,Mdas,0,3,0,3
279,Eldena,21,Mdau,131,175,1,2365
280,Eldena,21,Mema,0,2,0,2
281,Eldena,21,Mmyo,12,5,0,79
