,site,th,species,FN,FP,below_th,total
107,Comthurey_r500,8,Eser,0,0,0,0
108,Comthurey_r500,8,Mbec,0,0,0,0
109,Comthurey_r500,8,Mdas,0,0,0,0
110,Comthurey_r500,8,Mdau,13,16,0,1085
111,Comthurey_r500,8,Mema,0,0,0,0
112,Comthurey_r500,8,Mmyo,8,10,0,2269
113,Comthurey_r500,8,Mbra,0,0,0,0
114,Comthurey_r500,8,Mnat,28,9,0,3033
115,Comthurey_r500,8,Nnoc,0,0,0,0
116,Comthurey_r500,8,Ppip,0,0,0,0
117,Comthurey_r500,8,Paur,1,0,0,37
118,Comthurey_r500,8,Rhin,0,0,0,0
119,Comthurey_r500,9,Bbar,1,13,0,90
120,Comthurey_r500,9,Eser,0,0,0,0
121,Comthurey_r500,9,Mbec,0,0,0,0
122,Comthurey_r500,9,Mdas,0,0,0,0
123,Comthurey_r500,9,Mdau,13,16,0,1085
124,Comthurey_r500,9,Mema,0,0,0,0
125,Comthurey_r500,9,Mmyo,8,10,0,2269
126,Comthurey_r500,9,Mbra,0,0,0,0
127,Comthurey_r500,9,Mnat,28,9,0,3033
128,Comthurey_r500,9,Nnoc,0,0,0,0
129,Comthurey_r500,9,Ppip,0,0,0,0
130,Comthurey_r500,9,Paur,1,0,0,37
131,Comthurey_r500,9,Rhin,0,0,0,0
132,Comthurey_r500,10,Bbar,1,13,0,90
133,Comthurey_r500,10,Eser,0,0,0,0
134,Comthurey_r500,10,Mbec,0,0,0,0
135,Comthurey_r500,10,Mdas,0,0,0,0
136,Comthurey_r500,10,Mdau,13,16,0,1085
137,Comthurey_r500,10,Mema,0,0,0,0
138,Comthurey_r500,10,Mmyo,8,10,0,2269
139,Comthurey_r500,10,Mbra,0,0,0,0
140,Comthurey_r500,10,Mnat,28,9,0,3033
141,Comthurey_r500,10,Nnoc,0,0,0,0
142,Comthurey_r500,10,Ppip,0,0,0,0
143,Comthurey_r500,10,Paur,1,0,0,37
144,Comthurey_r500,10,Rhin,0,0,0,0
145,Comthurey_r500,11,Bbar,1,13,0,90
146,Comthurey_r500,11,Eser,0,0,0,0
147,Comthurey_r500,11,Mbec,0,0,0,0
148,Comthurey_r500,11,Mdas,0,0,0,0
149,Comthurey_r500,11,Mdau,13,16,0,1085
150,Comthurey_r500,11,Mema,0,0,0,0
151,Comthurey_r500,11,Mmyo,8,10,0,2269
152,Comthurey_r500,11,Mbra,0,0,0,0
153,Comthurey_r500,11,Mnat,28,9,0,3033
154,Comthurey_r500,11,Nnoc,0,0,0,0
155,Comthurey_r500,11,Ppip,0,0,0,0
156,Comthurey_r500,11,Paur,1,0,0,37
157,Comthurey_r500,11,Rhin,0,0,0,0
158,Comthurey_r500,12,Bbar,1,13,0,90
159,Comthurey_r500,12,Eser,0,0,0,0
160,Comthurey_r500,12,Mbec,0,0,0,0
161,Comthurey_r500,12,Mdas,0,0,0,0
162,Comthurey_r500,12,Mdau,13,16,0,1085
163,Comthurey_r500,12,Mema,0,0,0,0
164,Comthurey_r500,12,Mmyo,8,10,0,2269
165,Comthurey_r500,12,Mbra,0,0,0,0
166,Comthurey_r500,12,Mnat,28,9,0,3033
167,Comthurey_r500,12,Nnoc,0,0,0,0
168,Comthurey_r500,12,Ppip,0,0,0,0
169,Comthurey_r500,12,Paur,1,0,0,37
170,Comthurey_r500,12,Rhin,0,0,0,0
171,Comthurey_r500,13,Bbar,1,13,0,90
