n,TP,FP,FN,precision,recall,F1
0,111,4,359,0.9652173913043478,0.23617021276595745,0.37948717948717947
25,388,34,79,0.919431279620853,0.8308351177730193,0.8728908886389202
50,396,23,71,0.9451073985680191,0.8479657387580299,0.8939051918735891
100,407,25,60,0.9421296296296297,0.8715203426124197,0.9054505005561735
500,437,25,30,0.9458874458874459,0.9357601713062098,0.9407965554359526
