n,TP,FP,FN,precision,recall,F1
0,397,8,30,0.980246913580247,0.9297423887587822,0.9543269230769231
25,418,9,9,0.9789227166276346,0.9789227166276346,0.9789227166276347
50,421,9,6,0.9790697674418605,0.9859484777517564,0.9824970828471412
100,421,6,6,0.9859484777517564,0.9859484777517564,0.9859484777517564
500,423,5,4,0.9883177570093458,0.990632318501171,0.9894736842105263
