n,TP,FP,FN,precision,recall,F1
0,487,0,8,1.0,0.9838383838383838,0.9918533604887985
25,492,1,3,0.9979716024340771,0.9939393939393939,0.9959514170040488
50,492,0,3,1.0,0.9939393939393939,0.9969604863221886
100,492,1,3,0.9979716024340771,0.9939393939393939,0.9959514170040488
500,495,2,0,0.9959758551307847,1.0,0.9979838709677419
