n,TP,FP,FN,precision,recall,F1
0,693,7,24,0.99,0.9665271966527197,0.978122794636556
25,716,9,1,0.9875862068965517,0.99860529986053,0.9930651872399444
50,713,8,4,0.9889042995839112,0.9944211994421199,0.991655076495132
100,715,6,2,0.9916782246879334,0.99721059972106,0.9944367176634216
500,715,3,2,0.9958217270194986,0.99721059972106,0.9965156794425086
